City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
551,Sao Lourenco Do Oeste,BR,70.0,light rain,-26.3592,-52.8511,Poente Hotel
558,Batticaloa,LK,80.02,light rain,7.7102,81.6924,Grand Star Guest House
561,Trinidad,BO,74.48,overcast clouds,-14.8333,-64.9,Hotel Piesta
568,Pachora,IN,70.59,clear sky,20.6667,75.35,Vishal Avinash patil
570,Ampanihy,MG,79.3,scattered clouds,-24.7,44.75,Angora Hotel
571,Uribia,CO,77.41,clear sky,11.7139,-72.266,Hotel Uribia
572,Flinders,AU,81.0,scattered clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
575,Mombasa,KE,77.4,light rain,-4.0547,39.6636,New Palm Tree Hotel
577,Sao Joao Da Barra,BR,75.06,scattered clouds,-21.6403,-41.0511,Pousada Porto De Canoas
578,Conakry,GN,78.04,clear sky,9.538,-13.6773,Riviera Royal Hotel
580,Maues,BR,71.65,overcast clouds,-3.3836,-57.7186,Hotel Miramar
581,Sulangan,PH,81.19,light rain,11.1373,123.7228,Maia's Beach Resort
582,Tadine,NC,78.39,overcast clouds,-21.55,167.8833,
586,Pontes E Lacerda,BR,71.85,moderate rain,-15.2261,-59.3353,Hotel Bressan
597,Mlonggo,ID,84.2,scattered clouds,-6.5333,110.7,Asia Metal Art
606,Hualmay,PE,70.11,broken clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
609,Mitsamiouli,KM,82.92,light rain,-11.3847,43.2844,Foyer ADM
622,Malinao,PH,75.04,light rain,7.5917,124.6889,BARBER'S FARM AND RESORT
623,Hervey Bay,AU,82.99,clear sky,-25.2986,152.8535,Shelly Bay Resort
628,Banganapalle,IN,75.04,clear sky,15.3167,78.2333,Careerfinder4you
630,Ipil,PH,82.94,overcast clouds,7.75,122.5167,
631,Palasa,IN,75.7,clear sky,18.7667,84.4167,Balaji tifen & meals veg & non veg hotel
636,Hobyo,SO,78.21,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
646,Bandarbeyla,SO,72.66,scattered clouds,9.4942,50.8122,JABIR HOTEL
648,Denpasar,ID,77.0,broken clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
654,Kawalu,ID,82.08,overcast clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
655,Biak,ID,83.97,light rain,-0.9131,122.8766,Penginapan Kim
657,Pathein,MM,79.27,clear sky,16.7833,94.7333,Pathein Hotel
660,Mahanoro,MG,78.21,broken clouds,-19.9,48.8,BUNGALOW MAHAMANINA
663,Dingle,PH,82.8,light rain,10.9995,122.6711,SEGAYA PROPERTY
670,Ullal,IN,77.0,mist,12.8,74.85,AK INTERNATIONAL LODGE
671,Puerto Quijarro,BO,75.45,moderate rain,-17.7833,-57.7667,Hotel palance
675,Soe,ID,82.27,broken clouds,-9.8607,124.28399999999999,Dena Hotel
676,Namatanai,PG,84.47,overcast clouds,-3.6667,152.4333,Namatanai Hotel
